blocks vars loaded
blok I
data loaded
var_out: S0T302_2A.DACA.PV  var_in: SRV_2_METAN  best delay: 72  score:0.002416021480514008  close_delays: {'score': 0.0024154846022412801, 'delay': 71}, {'score': 0.0024132455017535914, 'delay': 73}  conf_interval: 66-77

var_out: S0T302_2A.DACA.PV  var_in: CH4_NKZG_AN2_AZOT  best delay: 120  score:0.0014603885265419558  close_delays: {'score': 0.0014571488999921556, 'delay': 119}, {'score': 0.0014539130761875851, 'delay': 118}  conf_interval: 112-120

var_out: S0T302_2A.DACA.PV  var_in: SRV_2_WART_OPAL  best delay: 120  score:0.0037499873729889277  close_delays: {'score': 0.0037409372818846261, 'delay': 72}, {'score': 0.003739483133912036, 'delay': 73}  conf_interval: 116-120

var_out: S0T302_2A.DACA.PV  var_in: S0FC027.PIDA.PV  best delay: 61  score:0.01979382749413161  close_delays: {'score': 0.019620765509778315, 'delay': 62}, {'score': 0.018798617734865353, 'delay': 60}  conf_interval: 61-62

var_out: S0T302_2A.DACA.PV  var_in: S0PC025.PIDA.PV  best delay: 0  score:0.02740749512500995  close_delays: {'score': 0.023934812331446231, 'delay': 8}, {'score': 0.023585163029175127, 'delay': 1}  conf_interval: 0-0

var_out: S0T302_2A.DACA.PV  var_in: S0F026.DACA.PV  best delay: 0  score:0.127775625230523  close_delays: {'score': 0.126980406750268, 'delay': 1}, {'score': 0.12635810336493858, 'delay': 8}  conf_interval: 0-10

var_out: S0T302_2A.DACA.PV  var_in: S0T001_1.DACA.PV  best delay: 120  score:0.11790636388226693  close_delays: {'score': 0.11786800984257062, 'delay': 119}, {'score': 0.11782707413196404, 'delay': 118}  conf_interval: 74-120

var_out: S0T302_2A.DACA.PV  var_in: S0FK319.DACA.PV  best delay: 0  score:0.024144701340414243  close_delays: {'score': 0.023754434212156283, 'delay': 1}, {'score': 0.023258032704565945, 'delay': 2}  conf_interval: 0-1

var_out: S0T302_2A.DACA.PV  var_in: S0PC318.PIDA.PV  best delay: 4  score:0.08966505344113551  close_delays: {'score': 0.089268116575501266, 'delay': 5}, {'score': 0.089236509986428847, 'delay': 3}  conf_interval: 3-6

var_out: S0T302_2A.DACA.PV  var_in: S0FC301.PIDA.PV  best delay: 3  score:0.4100846180272387  close_delays: {'score': 0.40851409420558737, 'delay': 4}, {'score': 0.40823704904702629, 'delay': 2}  conf_interval: 1-5

